human,name_hu,alias_hu
http://www.wikidata.org/entity/Q1752,Macrinus római császár,Macrinus
http://www.wikidata.org/entity/Q1752,Macrinus római császár,Imperator Caesar Marcus Opellius Macrinus Augustus
http://www.wikidata.org/entity/Q1752,Macrinus római császár,Marcus Opellius Macrinus
http://www.wikidata.org/entity/Q848,Arturo Alessandri,Arturo Fortunato Alessandri Palma
http://www.wikidata.org/entity/Q873,Meryl Streep,Mary Louise Streep
http://www.wikidata.org/entity/Q76,Barack Obama,Barack Hussein Obama
http://www.wikidata.org/entity/Q2104,Mike Hawthorn,John Michael Hawthorn
http://www.wikidata.org/entity/Q2105,Jacques Chirac,Jacques René Chirac
http://www.wikidata.org/entity/Q855,Joszif Visszarionovics Sztálin,Ioszeb Dzsugasvili
http://www.wikidata.org/entity/Q855,Joszif Visszarionovics Sztálin,Ioszeb Visszarionovics Dzsugasvili
http://www.wikidata.org/entity/Q855,Joszif Visszarionovics Sztálin,Joszif Sztálin
http://www.wikidata.org/entity/Q1762,Heliogabalus római császár,Imperator Caesar Marcus Aurelius Antoninus Augustus
http://www.wikidata.org/entity/Q1762,Heliogabalus római császár,Elagabalus
http://www.wikidata.org/entity/Q1762,Heliogabalus római császár,Heliogabalus
http://www.wikidata.org/entity/Q1762,Heliogabalus római császár,Marcus Aurelius Elagabalus
http://www.wikidata.org/entity/Q1762,Heliogabalus római császár,Varius Avitus Bassianus
http://www.wikidata.org/entity/Q849,François Villon,Villon
http://www.wikidata.org/entity/Q849,François Villon,François de Montcorbier
http://www.wikidata.org/entity/Q849,François Villon,Francois Villon
http://www.wikidata.org/entity/Q882,Charlie Chaplin,Charles Chaplin
http://www.wikidata.org/entity/Q882,Charlie Chaplin,Charles Spencer Chaplin
http://www.wikidata.org/entity/Q181,Jimmy Wales,Jimbo
http://www.wikidata.org/entity/Q181,Jimmy Wales,Jimbo Wales
http://www.wikidata.org/entity/Q181,Jimmy Wales,Jimmy Donal Wales
http://www.wikidata.org/entity/Q859,Platón,Arisztoklész
http://www.wikidata.org/entity/Q859,Platón,Plátó
http://www.wikidata.org/entity/Q859,Platón,Πλάτων
http://www.wikidata.org/entity/Q853,Andrej Arszenyjevics Tarkovszkij,Andrej Tarkovszkij
http://www.wikidata.org/entity/Q853,Andrej Arszenyjevics Tarkovszkij,Tarkovszkij
http://www.wikidata.org/entity/Q853,Andrej Arszenyjevics Tarkovszkij,Андрей Арсеньевич Тарковский
http://www.wikidata.org/entity/Q2125,Jack Brabham,Sir Jack Brabham
http://www.wikidata.org/entity/Q2125,Jack Brabham,Sir John Arthur Brabham
http://www.wikidata.org/entity/Q1768,Ella Fitzgerald,Ella Jane Fitzgerald
http://www.wikidata.org/entity/Q855,Joszif Visszarionovics Sztálin,Sztálin
http://www.wikidata.org/entity/Q857,Juan Luis Sanfuentes,Juan Luis Sanfuentes Andonaegui
http://www.wikidata.org/entity/Q1779,Louis Armstrong,Louis Daniel Armstrong
http://www.wikidata.org/entity/Q1779,Louis Armstrong,Satchmo
http://www.wikidata.org/entity/Q2190,Coluche,Michel Gérard Joseph Colucci
http://www.wikidata.org/entity/Q2172,Lance Armstrong,Lance Edward Armstrong
http://www.wikidata.org/entity/Q2172,Lance Armstrong,Lance Edward Gunderson
http://www.wikidata.org/entity/Q2129,Bode Miller,Samuel Bode Miller
http://www.wikidata.org/entity/Q1771,Ehszán Haddádi,Ehsan Hadadi
http://www.wikidata.org/entity/Q1775,Mary Jane Rathbun,Brownie Mary
http://www.wikidata.org/entity/Q1405,Augustus római császár,Augustus
http://www.wikidata.org/entity/Q1405,Augustus római császár,Caius Iulius Caesar
http://www.wikidata.org/entity/Q1405,Augustus római császár,Caius Octavius
http://www.wikidata.org/entity/Q1405,Augustus római császár,Caius Iulius Caesar Octavianus
http://www.wikidata.org/entity/Q1405,Augustus római császár,Imperator Caesar Augustus divi filius
http://www.wikidata.org/entity/Q862,Joszif Alekszandrovics Brodszkij,Iosif Brodski
http://www.wikidata.org/entity/Q862,Joszif Alekszandrovics Brodszkij,Iossif Alexandrowitsch Brodskij
http://www.wikidata.org/entity/Q862,Joszif Alekszandrovics Brodszkij,Joseph Brodsky
http://www.wikidata.org/entity/Q862,Joszif Alekszandrovics Brodszkij,Иосиф Александрович Бродский
http://www.wikidata.org/entity/Q1797,Pupienus római császár,Marcus Clodius Pupienus Maximus
